iter	Passed	Remaining
0	106	105428
1	129	64120
2	183	60592
3	275	68265
4	356	70583
5	444	73255
6	535	75632
7	577	71201
8	623	68355
9	656	64621
10	669	59884
11	722	59209
12	758	57290
13	814	57063
14	858	56115
15	916	56071
16	993	57131
17	1039	56413
18	1069	54919
19	1113	54274
20	1163	53972
21	1223	54127
22	1273	53802
23	1317	53322
24	1343	52114
25	1368	51021
26	1392	49916
27	1417	48956
28	1461	48683
29	1486	47813
30	1524	47394
31	1539	46341
32	1553	45289
33	1579	44654
34	1602	43964
35	1628	43370
36	1650	42734
37	1672	42110
38	1693	41502
39	1716	40990
40	1741	40519
41	1766	40085
42	1772	39241
43	1798	38875
44	1804	38094
45	1826	37682
46	1835	37027
47	1857	36651
48	1881	36323
49	1905	36022
50	1929	35718
51	1957	35500
52	1984	35267
53	1990	34691
54	2014	34423
55	2038	34186
56	2063	33963
57	2093	33818
58	2119	33622
59	2143	33407
60	2167	33181
61	2173	32701
62	2189	32396
63	2213	32194
64	2236	31996
65	2260	31820
66	2287	31678
67	2310	31495
68	2333	31312
69	2354	31114
70	2385	31045
71	2411	30916
72	2437	30780
73	2456	30570
74	2481	30433
75	2503	30272
76	2527	30137
77	2551	29990
78	2576	29873
79	2605	29799
80	2633	29711
81	2659	29613
82	2668	29324
83	2694	29224
84	2721	29137
85	2747	29037
86	2769	28908
87	2794	28801
88	2818	28693
89	2844	28606
90	2870	28518
91	2896	28427
92	2920	28321
93	2945	28231
94	2970	28137
95	2994	28037
96	3003	27804
97	3027	27709
98	3032	27443
99	3056	27358
100	3081	27277
101	3106	27196
102	3109	26933
103	3117	26705
104	3140	26623
105	3165	26547
106	3189	26466
107	3212	26386
108	3237	26318
109	3263	26252
110	3287	26180
111	3311	26108
112	3336	26038
113	3359	25961
114	3384	25897
115	3394	25725
116	3420	25672
117	3447	25621
118	3458	25459
119	3482	25394
120	3505	25321
121	3530	25264
122	3539	25094
123	3547	24918
124	3571	24857
125	3595	24799
126	3622	24755
127	3648	24710
128	3653	24525
129	3680	24490
130	3708	24457
131	3736	24431
132	3753	24326
133	3760	24162
134	3784	24108
135	3810	24068
136	3836	24027
137	3861	23980
138	3867	23818
139	3891	23765
140	3899	23618
141	3927	23593
142	3953	23556
143	3981	23530
144	4004	23477
145	4028	23423
146	4053	23385
147	4058	23226
148	4085	23195
149	4108	23144
150	4115	23000
151	4137	22947
152	4161	22902
153	4185	22857
154	4208	22808
155	4231	22760
156	4259	22735
157	4284	22696
158	4293	22575
159	4319	22544
160	4346	22516
161	4372	22483
162	4398	22450
163	4423	22411
164	4436	22314
165	4439	22169
166	4446	22048
167	4468	21994
168	4472	21862
169	4497	21824
170	4520	21784
171	4545	21750
172	4572	21724
173	4597	21694
174	4610	21602
175	4636	21573
176	4660	21538
177	4682	21493
178	4705	21451
179	4708	21321
180	4717	21215
181	4720	21088
182	4742	21043
183	4746	20921
184	4771	20890
185	4795	20858
186	4808	20775
187	4832	20745
188	4858	20718
189	4881	20684
190	4906	20652
191	4928	20612
192	4936	20513
193	4961	20484
194	4990	20472
195	5014	20442
196	5038	20408
197	5045	20309
198	5071	20287
199	5096	20258
200	5120	20228
201	5147	20208
202	5157	20121
203	5182	20095
204	5204	20058
205	5231	20036
206	5253	19999
207	5260	19903
208	5285	19877
209	5310	19850
210	5336	19827
211	5362	19805
212	5384	19768
213	5408	19739
214	5433	19712
215	5458	19684
216	5480	19648
217	5506	19626
218	5531	19599
219	5556	19573
220	5580	19543
221	5604	19515
222	5611	19427
223	5635	19398
224	5642	19308
225	5646	19212
226	5650	19117
227	5657	19030
228	5682	19007
229	5706	18978
230	5730	18952
231	5755	18927
232	5780	18906
233	5804	18877
234	5827	18847
235	5850	18815
236	5876	18796
237	5901	18769
238	5907	18686
239	5931	18660
240	5956	18634
241	5980	18608
242	5990	18539
243	6000	18467
244	6027	18450
245	6050	18422
246	6061	18356
247	6086	18332
248	6115	18321
249	6139	18294
250	6144	18213
251	6170	18192
252	6186	18143
253	6209	18116
254	6234	18092
255	6259	18070
256	6283	18044
257	6290	17969
258	6314	17943
259	6319	17863
260	6343	17840
261	6368	17817
262	6393	17794
263	6417	17769
264	6441	17744
265	6451	17681
266	6475	17657
267	6500	17632
268	6525	17612
269	6537	17554
270	6548	17495
271	6573	17472
272	6598	17450
273	6623	17428
274	6647	17405
275	6672	17382
276	6696	17358
277	6719	17331
278	6743	17305
279	6746	17228
280	6770	17202
281	6793	17176
282	6817	17151
283	6842	17131
284	6869	17112
285	6878	17053
286	6904	17033
